ZIP,State,County,Date Sent,Assigned List,Assigned Agency,Report Month,Estimated Population,Estimated Lead Volume
33186,FL,Miami Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,183.0,183.0
34986,FL,Port Saint Lucie Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,340.0,340.0
32837,FL,Orlando Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,150.0,150.0
33703,FL,Saint Petersburg Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,257.0,257.0
32808,FL,Orlando Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,117.0,117.0
33034,FL,Homestead Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,232.0,232.0
34744,FL,Kissimmee Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,272.0,272.0
33324,FL,Fort Lauderdale Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,286.0,286.0
33596,FL,Valrico Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,95.0,95.0
32958,FL,Sebastian Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,217.0,217.0
33626,FL,Tampa Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,90.0,90.0
32503,FL,Pensacola Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,157.0,157.0
32168,FL,New Smyrna Beach Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,281.0,281.0
32780,FL,Titusville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,283.0,283.0
32967,FL,Vero Beach Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,315.0,315.0
34434,FL,Dunnellon Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,280.0,280.0
32159,FL,Lady Lake Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,203.0,203.0
33612,FL,Tampa Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,91.0,91.0
32507,FL,Pensacola Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,433.0,433.0
33811,FL,Lakeland Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,125.0,125.0
32308,FL,Tallahassee Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,64.0,64.0
33484,FL,Delray Beach Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,409.0,409.0
33917,FL,North Fort Myers Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,294.0,294.0
33428,FL,Boca Raton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,197.0,197.0
33976,FL,Lehigh Acres Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,286.0,286.0
32757,FL,Mount Dora Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,253.0,253.0
33558,FL,Lutz Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,123.0,123.0
30157,GA,Dallas Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,257.0,257.0
31069,GA,Perry Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,150.0,150.0
30213,GA,Fairburn Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,196.0,196.0
30813,GA,Grovetown Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,326.0,326.0
31419,GA,Savannah Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,228.0,228.0
31088,GA,Warner Robins Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,139.0,139.0
30228,GA,Hampton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,238.0,238.0
30102,GA,Acworth Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,150.0,150.0
30016,GA,Covington Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,205.0,205.0
31324,GA,Richmond Hill Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,248.0,248.0
31313,GA,Hinesville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,349.0,349.0
31407,GA,Port Wentworth Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,133.0,133.0
30135,GA,Douglasville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,325.0,325.0
30058,GA,Lithonia Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,256.0,256.0
30721,GA,Dalton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,139.0,139.0
30741,GA,Rossville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,167.0,167.0
31548,GA,Kingsland Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,157.0,157.0
30180,GA,Villa Rica Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,339.0,339.0
31907,GA,Columbus Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,121.0,121.0
30114,GA,Canton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,289.0,289.0
