State,County,ZIP,ZIP Score,Pending Ratio,Active Listing Count,Pending Listing Count,Estimated Population,Estimated Lead Volume,Median Listing Price,Median Days on Market,Price Decrease Count,Recommended Home Value Range,Last Used Date,Eligible Based on Cooldown,Manual Review Flag
AL,Birmingham Zip Market,35204,48.64,0.6333333333333333,30,19.0,30.0,30.0,97250.0,91.0,6.0,$75k-$133k,,True,
AL,Birmingham Zip Market,35218,43.27,0.3333333333333333,30,10.0,30.0,30.0,105000.0,60.0,10.0,$75k-$144k,,True,
AL,Grant Zip Market,35747,35.29,0.43333333333333335,30,13.0,30.0,30.0,420950.0,84.0,8.0,$221k-$350k,,True,
AL,Kimberly Zip Market,35091,55.73,1.3103448275862069,29,38.0,29.0,29.0,301289.0,60.0,6.0,$158k-$350k,,True,
AL,Jemison Zip Market,35085,52.32,0.4827586206896552,29,14.0,29.0,29.0,259018.0,46.0,8.0,$136k-$350k,,True,
AL,Jackson Zip Market,36545,33.4,0.27586206896551724,29,8.0,29.0,29.0,198000.0,93.0,2.0,$104k-$271k,,True,
AL,Citronelle Zip Market,36522,38.09,0.25,28,7.0,28.0,28.0,209900.0,52.0,4.0,$110k-$288k,,True,
AL,Morris Zip Market,35116,37.64,0.35714285714285715,28,10.0,28.0,28.0,400600.0,41.0,4.0,$210k-$350k,,True,
AL,Cherokee Zip Market,35616,26.62,0.32142857142857145,28,9.0,28.0,28.0,495500.0,62.0,10.0,$260k-$350k,,True,
AL,Adamsville Zip Market,35005,50.36,0.48148148148148145,27,13.0,27.0,27.0,131200.0,54.0,8.0,$75k-$180k,,True,
AL,Greenville Zip Market,36037,49.53,0.6666666666666666,27,18.0,27.0,27.0,186500.0,76.0,4.0,$98k-$256k,,True,
AL,Elkmont Zip Market,35620,46.89,0.5185185185185185,27,14.0,27.0,27.0,324900.0,70.0,14.0,$171k-$350k,,True,
AL,Birmingham Zip Market,35223,39.89,0.5185185185185185,27,14.0,27.0,27.0,968500.0,24.0,8.0,$508k-$350k,,True,
AL,Montgomery Zip Market,36104,32.2,0.2222222222222222,27,6.0,27.0,27.0,229675.0,86.0,8.0,$121k-$315k,,True,
AL,Birmingham Zip Market,35233,30.82,0.14814814814814814,27,4.0,27.0,27.0,281000.0,74.0,8.0,$148k-$350k,,True,
AL,Union Grove Zip Market,35175,15.33,0.15384615384615385,26,4.0,26.0,26.0,454900.0,83.0,10.0,$239k-$350k,,True,
AL,Vinemont Zip Market,35179,49.37,0.48,25,12.0,25.0,25.0,300500.0,44.0,8.0,$158k-$350k,,True,
AL,Birmingham Zip Market,35224,47.18,0.4,25,10.0,25.0,25.0,99000.0,44.0,8.0,$75k-$136k,,True,
AL,Ardmore Zip Market,35739,43.13,0.4,25,10.0,25.0,25.0,323750.0,53.0,8.0,$170k-$350k,,True,
AL,Fultondale Zip Market,35068,57.1,1.875,24,45.0,24.0,24.0,263939.0,56.0,8.0,$139k-$350k,,True,
AL,Mount Olive Zip Market,35117,54.83,1.125,24,27.0,24.0,24.0,310975.0,55.0,10.0,$163k-$350k,,True,
AL,Birmingham Zip Market,35207,35.45,0.4583333333333333,24,11.0,24.0,24.0,65000.0,87.0,6.0,$75k-$89k,,True,
AL,Sylacauga Zip Market,35151,30.74,0.25,24,6.0,24.0,24.0,346950.0,71.0,12.0,$182k-$350k,,True,
AL,Alabaster Zip Market,35114,42.64,0.43478260869565216,23,10.0,23.0,23.0,380000.0,37.0,8.0,$200k-$350k,,True,
AL,Irvington Zip Market,36544,54.06,0.8181818181818182,22,18.0,22.0,22.0,249355.0,58.0,10.0,$131k-$342k,,True,
AL,Hayden Zip Market,35079,51.63,0.9090909090909091,22,20.0,22.0,22.0,278000.0,77.0,12.0,$146k-$350k,,True,
AL,Childersburg Zip Market,35044,46.41,0.8181818181818182,22,18.0,22.0,22.0,204060.0,108.0,2.0,$107k-$280k,,True,
AL,Birmingham Zip Market,35213,44.03,1.0,22,22.0,22.0,22.0,501000.0,13.0,8.0,$263k-$350k,,True,
AL,Birmingham Zip Market,35234,37.51,0.36363636363636365,22,8.0,22.0,22.0,166250.0,78.0,4.0,$87k-$228k,,True,
AL,Millbrook Zip Market,36054,53.81,1.0,21,21.0,21.0,21.0,283950.0,51.0,4.0,$149k-$350k,,True,
AL,Wilmer Zip Market,36587,44.37,0.47619047619047616,21,10.0,21.0,21.0,306250.0,59.0,6.0,$161k-$350k,,True,
AL,Mobile Zip Market,36607,44.2,0.47619047619047616,21,10.0,21.0,21.0,178450.0,86.0,14.0,$94k-$244k,,True,
AL,Blountsville Zip Market,35031,32.13,0.25,20,5.0,20.0,20.0,284613.0,66.0,6.0,$149k-$350k,,True,
AL,Wilsonville Zip Market,35186,27.18,0.35,20,7.0,20.0,20.0,578475.0,46.0,8.0,$304k-$350k,,True,
AL,Mobile Zip Market,36611,49.58,0.631578947368421,19,12.0,19.0,19.0,123000.0,63.0,10.0,$75k-$169k,,True,
AL,Russellville Zip Market,35654,43.5,0.47368421052631576,19,9.0,19.0,19.0,191225.0,65.0,4.0,$100k-$262k,,True,
AL,Mobile Zip Market,36603,42.69,0.5263157894736842,19,10.0,19.0,19.0,205000.0,77.0,2.0,$108k-$281k,,True,
AL,Pell City Zip Market,35125,53.76,0.8333333333333334,18,15.0,18.0,18.0,262550.0,42.0,6.0,$138k-$350k,,True,
AL,Somerville Zip Market,35670,40.97,0.3888888888888889,18,7.0,18.0,18.0,339975.0,41.0,10.0,$178k-$350k,,True,
AL,Holly Pond Zip Market,35083,38.44,0.3888888888888889,18,7.0,18.0,18.0,244975.0,77.0,8.0,$129k-$336k,,True,
AL,Mobile Zip Market,36610,20.71,0.2777777777777778,18,5.0,18.0,18.0,59950.0,91.0,2.0,$75k-$82k,,True,
AL,Eight Mile Zip Market,36613,51.8,0.9411764705882353,17,16.0,17.0,17.0,156500.0,71.0,16.0,$82k-$214k,,True,
AL,Trinity Zip Market,35673,46.84,0.8235294117647058,17,14.0,17.0,17.0,307425.0,66.0,4.0,$161k-$350k,,True,
AL,Birmingham Zip Market,35221,42.7,0.5333333333333333,15,8.0,15.0,15.0,99450.0,75.0,6.0,$75k-$136k,,True,
AL,Leighton Zip Market,35646,15.0,0.2,15,3.0,15.0,15.0,419900.0,104.0,4.0,$220k-$350k,,True,
AL,Mobile Zip Market,36617,46.47,0.7857142857142857,14,11.0,14.0,14.0,92500.0,68.0,8.0,$75k-$127k,,True,
AL,Satsuma Zip Market,36572,42.42,0.5714285714285714,14,8.0,14.0,14.0,311175.0,64.0,4.0,$163k-$350k,,True,
AL,Quinton Zip Market,35130,39.0,0.42857142857142855,14,6.0,14.0,14.0,138725.0,67.0,4.0,$75k-$190k,,True,
AL,Town Creek Zip Market,35672,37.52,0.42857142857142855,14,6.0,14.0,14.0,241150.0,73.0,2.0,$127k-$330k,,True,
AL,Tuskegee Zip Market,36083,34.51,0.42857142857142855,14,6.0,14.0,14.0,125000.0,118.0,0.0,$75k-$171k,,True,
AL,Brownsboro Zip Market,35741,25.56,0.6428571428571429,14,9.0,14.0,14.0,591150.0,126.0,0.0,$310k-$350k,,True,
AL,Shelby Zip Market,35143,15.75,0.21428571428571427,14,3.0,14.0,14.0,668750.0,54.0,6.0,$351k-$350k,,True,
AL,Mulga Zip Market,35118,47.6,0.5384615384615384,13,7.0,13.0,13.0,139675.0,30.0,2.0,$75k-$191k,,True,
AL,Remlap Zip Market,35133,24.41,0.3076923076923077,13,4.0,13.0,13.0,355750.0,88.0,4.0,$187k-$350k,,True,
